A_type,A_params,B_type,B_params,sliced_pca,sliced_pca_time,gromov_wasserstein,gromov_wasserstein_time,standard_ot,standard_ot_time,procrustes_ot,procrustes_ot_time,diffusion_k10_t0,diffusion_k10_t0_time,diffusion_k10_t1,diffusion_k10_t1_time,sw_proj100,sw_proj100_time,sw_proj1000,sw_proj1000_time,sw_proj10000,sw_proj10000_time
cylinder,{'angle': 1.5707963267948966},swissroll,{},6.382482859792372,0.003715038299560547,10.892447669805598,0.02310776710510254,OT: Feature dimension mismatch: 3 vs 2,,"Procrustes: Shape mismatch (100, 3) vs (100, 2)",,0.0737754212193345,0.02059650421142578,0.18550195949974976,0.01665806770324707,SW: Feature dimension mismatch: 3 vs 2,,SW: Feature dimension mismatch: 3 vs 2,,SW: Feature dimension mismatch: 3 vs 2,
normal,"{'mean': array([0., 0.])}",banana,{'phase': 0.0},0.40916585664965255,0.008317708969116211,0.7924567308804159,0.042005300521850586,1.2961897740632924,0.0014531612396240234,0.8181081781323838,0.004057645797729492,0.12683170004815525,0.016149044036865234,0.23911712157015994,0.01620006561279297,1.2446399882852224,0.002448558807373047,1.199182420803888,0.02352142333984375,1.1953734510188725,0.22469472885131836
normal,"{'mean': array([0., 0.])}",banana,{'phase': 0.2},0.49691564875749256,0.0,0.8830033533745334,0.016809463500976562,1.2819826402234944,0.0,0.8504792695061539,0.0,0.12363929641391179,0.013375520706176758,0.24623627103057172,0.02102971076965332,1.2297550846390795,0.0033445358276367188,1.17997001370642,0.014914512634277344,1.1756883766835642,0.2108628749847412
normal,"{'mean': array([0., 0.])}",banana,{'phase': 1.0},0.5641456058566124,0.0,0.8156075134189565,0.0257108211517334,1.3120227001819926,0.0020058155059814453,0.8325737850499249,0.002005338668823242,0.17705665310127336,0.016474008560180664,0.3527680232752755,0.020061492919921875,1.2906267399655487,0.004151821136474609,1.2485816241003072,0.02036452293395996,1.245792268618393,0.19841241836547852
normal,"{'mean': array([0., 0.])}",cylinder,{'angle': 0.0},0.4850012771879165,0.0,0.8633380771825607,0.016715049743652344,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.14776624724659948,0.01193380355834961,0.1924964596085308,0.01897716522216797,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([0., 0.])}",cylinder,{'angle': 0.2},0.39888808206713205,0.0030126571655273438,0.7653195393808689,0.022794246673583984,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.14073382825021927,0.011974334716796875,0.16660338200829103,0.008594274520874023,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([0., 0.])}",cylinder,{'angle': 1.5707963267948966},0.40430362627793565,0.00745081901550293,0.7599427056449924,0.02737736701965332,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.1686566982625808,0.012494802474975586,0.19192616860736353,0.01161336898803711,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
normal,"{'mean': array([0., 0.])}",normal,"{'mean': array([0., 0.])}",0.16250754284626764,0.0,0.4494117162588292,0.007607221603393555,0.6145075474991788,0.0,0.5872872809757576,0.01575303077697754,0.09116502125961111,0.016108274459838867,0.10951642672378144,0.015749216079711914,0.22505703336461347,0.0028231143951416016,0.22650104626964288,0.02678990364074707,0.22674767868885545,0.23126578330993652
normal,"{'mean': array([0., 0.])}",normal,"{'mean': array([1., 1.])}",0.16766284471449605,0.0023565292358398438,0.35852836443740776,0.026381254196166992,1.1510271602119322,0.0,0.5401794416480126,0.0,0.0842165797127746,0.013829946517944336,0.11847328054059822,0.016504287719726562,0.9971549219435272,0.0,0.9519379168268636,0.024872303009033203,0.9475740781541605,0.22209548950195312
normal,"{'mean': array([0., 0.])}",normal,"{'mean': array([ 2., -2.])}",0.14099090294354152,0.008031845092773438,0.38458598021519586,0.02486705780029297,1.7920361884103593,0.006369352340698242,0.5743262736819194,0.003809213638305664,0.13320841753096557,0.027162790298461914,0.08957164582036452,0.016626834869384766,2.118395853564318,0.0,2.2440907023481595,0.017102956771850586,2.2554562022617533,0.24626970291137695
normal,"{'mean': array([0., 0.])}",normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",0.6922036143596273,0.002194643020629883,1.256548457311655,0.024886131286621094,0.9753307758945152,0.0,0.9084068250794054,0.0,0.1224891356844158,0.018673419952392578,0.2034698120605208,0.013578414916992188,0.7345844201914395,0.010473966598510742,0.7445638207923126,0.02457451820373535,0.7445788961271795,0.23862314224243164
